title,year,length,worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,number_ratings,average_rating,genres
American Assassin,2017,112,67.23,36.25,0.54,30.98,0.46,71790,2.7,"Action, Thriller, Adventure"
Victoria & Abdul,2017,112,66.56,22.25,0.33,44.31,0.67,20297,3.1,"Drama, History, Epic History And Literature"
Suck Me Shakespeer 3,2017,120,64.24,0.0,0.0,64.24,1.0,10649,2.4,Comedy
The Mountain Between Us,2017,109,62.83,30.35,0.48,32.48,0.52,31761,2.8,"Drama, Adventure, Romance"
The Star,2017,86,62.81,40.85,0.65,21.96,0.35,7225,2.5,"Family, Fantasy, Adventure"
How to Be a Latin Lover,2017,116,62.55,32.15,0.51,30.4,0.49,13004,2.6,"Comedy, Crude Humor And Satire, Relationship Comedy"
47 Meters Down,2017,89,62.19,44.31,0.71,17.88,0.29,75349,2.5,"Horror, The Undead And Monster Classics, Terrifying"
"Everything, Everything",2017,96,61.72,34.12,0.55,27.6,0.45,64593,2.6,"Romance, Drama, Moving Relationship Stories"
Snatched,2017,90,60.85,45.85,0.75,14.99,0.25,16913,2.2,"Action, Comedy, Crude Humor And Satire"
My Little Pony: The Movie,2017,99,60.33,21.89,0.36,38.45,0.64,16049,3.1,"Fantasy, Family, Adventure"
Shock Wave,2017,119,58.82,0.0,0.0,58.82,1.0,2144,3.1,"Action, Crime, Thriller"
All the Money in the World,2017,132,57.0,25.11,0.44,31.88,0.56,55015,3.2,"Crime, Drama, History"
The Big Sick,2017,120,56.41,42.87,0.76,13.54,0.24,226405,3.8,"Drama, Comedy, Romance"
Confidential Assignment,2017,125,55.97,0.48,0.01,55.5,0.99,3815,3.2,"Action, Drama"
All Eyez on Me,2017,139,55.67,44.92,0.81,10.75,0.19,15797,2.7,"Drama, Music, History"
Downsizing,2017,135,55.0,24.45,0.44,30.55,0.56,148681,2.4,"Drama, Science Fiction, Crude Humor And Satire"
"I, Tonya",2017,120,53.94,30.01,0.56,23.92,0.44,835438,3.9,"Drama, Comedy, Moving Relationship Stories"
1987: When the Day Comes,2017,129,53.83,0.0,0.0,53.83,1.0,8672,3.9,"Thriller, Drama, History"
The Outlaws,2017,121,52.95,0.0,0.0,52.95,1.0,14860,3.5,"Crime, Action, Thriller"
Bleeding Steel,2017,109,48.83,0.0,0.0,48.83,1.0,4099,2.2,"Adventure, Science Fiction, Action"
Logan Lucky,2017,118,48.45,27.78,0.57,20.67,0.43,236329,3.5,"Comedy, Crime, Crude Humor And Satire"
Boo 2! A Madea Halloween,2017,103,48.33,47.32,0.98,1.01,0.02,5200,2.1,"Comedy, Crude Humor And Satire, Funny Jokes And Crude Humor"
Phantom Thread,2017,130,47.76,21.2,0.44,26.56,0.56,415919,4.1,"Drama, Romance, Humanity And The World Around Us"
Rough Night,2017,101,47.35,22.11,0.47,25.24,0.53,63800,2.6,"Comedy, Drama, Crude Humor And Satire"
Three Seconds,2017,133,46.6,0.0,0.0,46.6,1.0,2129,3.2,Drama
The Thousand Faces of Dunjia,2017,113,46.26,0.12,0.0,46.14,1.0,569,2.9,"Adventure, Fantasy, Action"
The Battleship Island,2017,132,46.18,1.1,0.02,45.08,0.98,6345,3.6,"Action, War, Drama"
Flatliners,2017,111,45.16,16.88,0.37,28.28,0.63,42815,2.1,"Thriller, Drama, Horror"
Bad Genius,2017,130,44.56,0.0,0.0,44.56,1.0,39935,3.9,"Crime, Drama, Thriller"
Wind River,2017,107,43.98,33.8,0.77,10.18,0.23,244101,3.8,"Thriller, Western, Mystery"
Battle of Memories,2017,120,43.89,0.59,0.01,43.3,0.99,548,3.2,"Thriller, Mystery, Drama"
The Snowman,2017,119,43.16,6.7,0.16,36.46,0.84,54432,1.8,"Crime, Thriller, Thrillers And Murder Mysteries"
Gifted,2017,101,43.05,24.8,0.58,18.25,0.42,191990,3.7,"Comedy, Drama, Moving Relationship Stories"
Loving Vincent,2017,95,42.19,6.74,0.16,35.45,0.84,196167,4.0,"Drama, Animation, History"
Call Me by Your Name,2017,132,42.11,18.1,0.43,24.02,0.57,1687099,3.9,"Romance, Drama, Moving Relationship Stories"
T2 Trainspotting,2017,117,41.68,2.4,0.06,39.28,0.94,143420,3.6,"Comedy, Drama, Crime"
Fist Fight,2017,91,41.19,32.19,0.78,9.0,0.22,37948,2.4,"Comedy, Crude Humor And Satire, Underdogs And Coming Of Age"
The Circle,2017,110,40.66,20.5,0.5,20.16,0.5,88121,2.0,"Science Fiction, Thriller, Drama"
The Circle,2017,93,40.66,20.5,0.5,20.16,0.5,292,2.8,Horror
Diary of a Wimpy Kid: The Long Haul,2017,91,40.14,20.74,0.52,19.4,0.48,42249,1.4,"Comedy, Family, Crude Humor And Satire"
Midnight Runners,2017,108,39.73,0.0,0.0,39.73,1.0,19322,3.8,"Comedy, Crime, Action"
The King,2017,134,37.89,0.0,0.0,37.89,1.0,2251,3.4,"Action, Crime"
The King,2017,107,37.89,0.0,0.0,37.89,1.0,1404,3.4,Documentary
Pokémon the Movie: I Choose You!,2017,98,37.55,2.4,0.06,35.15,0.94,15600,3.1,"Animation, Fantasy, Adventure"
Home Again,2017,97,37.27,27.02,0.72,10.25,0.28,31921,2.7,"Comedy, Romance, Drama"
The Adventurers,2017,108,36.8,0.22,0.01,36.58,0.99,952,2.8,"Crime, Action, Adventure"
"Tad, the Lost Explorer, and the Secret of King Midas",2017,85,35.7,0.01,0.0,35.7,1.0,4214,2.6,"Comedy, Family, Adventure"
Hostiles,2017,134,35.67,29.82,0.84,5.85,0.16,68157,3.5,"Western, History, Drama"
Namiya,2017,105,35.35,0.07,0.0,35.28,1.0,265,3.1,"Fantasy, Family, Drama"
Destiny: The Tale of Kamakura,2017,129,35.17,0.0,0.0,35.17,1.0,772,3.3,"Mystery, Drama, Fantasy"
Kidnap,2017,95,34.81,30.97,0.89,3.84,0.11,18994,2.6,"Drama, Thriller, High Speed And Special Ops"
The House,2017,88,34.28,25.58,0.75,8.7,0.25,39096,2.5,"Comedy, Crude Humor And Satire, Funny Jokes And Crude Humor"
Perfect Strangers,2017,101,33.26,1.01,0.03,32.25,0.97,21390,3.1,"Drama, Comedy"
Sleepless,2017,95,32.92,20.78,0.63,12.13,0.37,12737,2.5,"Thriller, Action, Crime"
Hindi Medium,2017,132,32.84,0.0,0.0,32.84,1.0,6913,3.5,"Drama, Comedy, Moving Relationship Stories"
