title,year,number_ratings,average_rating,length,genres
Justice League,2017,"Weighted average of 1.94 based on 503,005 ratings",1.9,120 mins   More at IMDB TMDB,"Adventure, Science Fiction, Action, Epic Heroes, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Fantasy Adventure, Heroism, And Swordplay, Adrenaline-Fueled Action And Fast Cars, Explosive And Action-Packed Heroes Vs. Villains, Show All…"
The Disaster Artist,2017,"Weighted average of 3.56 based on 352,162 ratings",3.6,104 mins   More at IMDB TMDB,"Drama, Comedy, Crude Humor And Satire, Funny Jokes And Crude Humor, Gags, Jokes, And Slapstick Humor, Laugh-Out-Loud Relationship Entanglements, Quirky And Endearing Relationships, Amusing Jokes And Witty Satire, Show All…"
Happy Death Day,2017,"Weighted average of 3.01 based on 417,770 ratings",3.0,97 mins   More at IMDB TMDB,"Mystery, Horror, Comedy, Horror, The Undead And Monster Classics, Relationship Comedy, Crude Humor And Satire, Thrillers And Murder Mysteries, Gory, Gruesome, And Slasher Horror, Twisted Dark Psychological Thriller, Teen School Antics And Laughter, Intriguing And Suspenseful Murder Mysteries, Spooky, Scary Comedy, Show All…"
Murder on the Orient Express,2017,"Weighted average of 3.08 based on 397,983 ratings",3.1,114 mins   More at IMDB TMDB,"Crime, Mystery, Drama, Thrillers And Murder Mysteries, Intriguing And Suspenseful Murder Mysteries, Suspenseful Crime Thrillers, Noir And Dark Crime Dramas, Show All…"
Alien: Covenant,2017,"Weighted average of 3.03 based on 369,071 ratings",3.0,122 mins   More at IMDB TMDB,"Science Fiction, Thriller, Horror, Monsters, Aliens, Sci-Fi And The Apocalypse, Horror, The Undead And Monster Classics, Imaginative Space Odysseys And Alien Encounters, Sci-Fi Horror, Creatures, And Aliens, Thought-Provoking Sci-Fi Action And Future Technology, Action-Packed Space And Alien Sagas, Gory, Gruesome, And Slasher Horror, Show All…"
Kong: Skull Island,2017,"Weighted average of 3.08 based on 438,175 ratings",3.1,118 mins   More at IMDB TMDB,"Action, Adventure, Fantasy, Epic Heroes, War And Historical Adventure, High Speed And Special Ops, Sci-Fi Monster And Dinosaur Adventures, Military Combat And Heroic Soldiers, Superheroes In Action-Packed Battles With Villains, Dangerous Technology And The Apocalypse, Action-Packed Space And Alien Sagas, Show All…"
First Reformed,2017,"Weighted average of 4.04 based on 217,514 ratings",4.0,113 mins   More at IMDB TMDB,"Drama, Faith And Religion, Humanity And The World Around Us, Intense Violence And Sexual Transgression, Moving Relationship Stories, Religious Faith, Sin, And Forgiveness, Faith And Spiritual Journeys, Surreal And Thought-Provoking Visions Of Life And Death, Heartbreaking And Moving Family Drama, Powerful Poetic And Passionate Drama, Show All…"
Loving Vincent,2017,"Weighted average of 3.97 based on 196,167 ratings",4.0,95 mins   More at IMDB TMDB,"Drama, Animation, History, Mystery, Humanity And The World Around Us, Surreal And Thought-Provoking Visions Of Life And Death, Captivating Relationships And Charming Romance, Passion And Romance, Emotional And Captivating Fantasy Storytelling, Emotional Life Of Renowned Artists, Show All…"
You Were Never Really Here,2017,"Weighted average of 3.69 based on 231,567 ratings",3.7,89 mins   More at IMDB TMDB,"Drama, Thriller, Crime, Intense Violence And Sexual Transgression, Humanity And The World Around Us, Gripping, Intense Violent Crime, Graphic Violence And Brutal Revenge, Challenging Or Sexual Themes & Twists, Powerful Stories Of Heartbreak And Suffering, Twisted Dark Psychological Thriller, Show All…"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Weighted average of 2.66 based on 378,293 ratings",2.7,128 mins   More at IMDB TMDB,"Action, Fantasy, Adventure, Epic Heroes, Fantasy Adventure, Heroism, And Swordplay, Superheroes In Action-Packed Battles With Villains, Disastrous Voyages And Heroic Survival, Kids' Animated Fun And Adventure, Action-Packed Space And Alien Sagas, Show All…"
